energy,time,theta,phi,xpos,ypos,zpos,
9.69199,997.903,2.40462,1.69154,0.00801688,0.00291454,0.001316,
9.69273,1561.76,0.978803,1.4959,0.0145286,0.00529915,0.00239271,
9.69184,1859.6,1.67442,3.06612,0.0213325,0.00779078,0.00351775,
9.69204,3193.83,2.40758,2.48167,0.00805879,0.00292989,0.00132293,
9.69185,1750.83,2.4838,2.15403,0.0312044,0.0114059,0.00515008,
9.69262,1664.65,0.374176,2.58517,0.0106498,0.00387874,0.00175136,
9.6927,1759.59,0.898738,2.8495,0.0208041,0.00759728,0.00343038,
9.69217,237.242,0.244647,1.62314,0.0273045,0.00997774,0.00450522,
9.69239,14.3057,1.21925,2.75516,0.0302798,0.0110673,0.0049972,
9.69172,136.903,1.34816,0.888658,0.0145494,0.00530677,0.00239615,
9.69239,1709.47,1.28872,2.09995,0.0207794,0.00758824,0.0034263,
9.69104,2754.89,1.79318,2.75537,0.0145158,0.00529446,0.00239059,
9.69268,385.996,2.40731,1.27041,0.0123888,0.00451555,0.0020389,
9.69189,435.65,1.99674,0.61688,0.00742069,0.00269622,0.00121741,
9.69282,3201.66,1.55442,2.23447,0.0208186,0.00760258,0.00343277,
9.69141,503.469,1.3205,0.436561,0.026927,0.00983951,0.00444281,
9.69255,450.631,2.9377,2.98374,0.0188876,0.00689545,0.00311348,
9.69162,1732.49,0.516639,0.238685,0.00144364,0.000507395,0.000229103,
9.69214,1650.61,2.57034,3.03522,0.00106924,0.00037029,0.000167196,
9.69273,3068.67,2.44123,0.861951,0.000459371,0.000146952,6.6353e-05,
9.6919,3223.12,1.73588,1.05929,0.0100199,0.00364808,0.00164721,
9.69179,835.845,1.7541,1.61458,0.0203679,0.00743754,0.00335825,
9.6917,3271.64,1.06442,1.26952,0.0175564,0.00640794,0.00289336,
9.69274,2068.16,0.0887367,0.982847,0.00901332,0.00327945,0.00148076,
9.69183,2901.54,1.4423,1.4172,0.0197169,0.00719914,0.00325061,
9.6911,2355.3,0.255717,1.18437,0.0273704,0.0100019,0.00451612,
9.69291,749.766,0.711071,0.988949,0.00203838,0.000725192,0.000327444,
9.69279,879.582,1.08389,1.44598,0.0251204,0.00917794,0.00414409,
9.69274,437.778,0.375861,1.01923,0.0155785,0.00568362,0.00256631,
9.69194,507.047,0.134993,0.925924,0.0303421,0.0110901,0.0050075,
9.69267,3545.21,1.18677,0.56632,0.0214834,0.00784603,0.0035427,
9.69241,4677.58,1.8313,1.73884,0.0214151,0.00782101,0.0035314,
9.69182,924.929,0.961658,0.483175,0.0213856,0.00781022,0.00352653,
9.6929,985.869,0.723156,2.81034,0.00931938,0.00339153,0.00153137,
9.69176,1134.71,0.397852,0.415164,0.0261483,0.00955435,0.00431405,
9.69194,378.619,1.2021,2.76974,0.0204685,0.00747437,0.00337488,
9.69218,3052.83,1.51162,0.537781,0.019048,0.00695418,0.00314,
9.69159,968.832,1.86424,0.579957,0.0167042,0.00609588,0.00275246,
9.69164,6049.8,0.670839,1.50293,0.0254586,0.00930176,0.0042,
9.69241,2934.3,2.32826,1.62807,0.0250912,0.00916724,0.00413926,
9.69227,1052.37,1.72201,1.59872,0.0042179,0.00152334,0.00068783,
9.69272,1642.39,2.50351,1.43242,0.00712544,0.00258809,0.0011686,
9.69147,1589.98,2.10357,0.349797,0.0264684,0.00967156,0.00436697,
9.6918,251.77,1.95292,1.26766,0.0139443,0.00508519,0.0022961,
9.69254,248.45,1.05957,0.40668,0.0050584,0.00183113,0.000826807,
9.69117,132.305,1.50586,2.0055,0.00753873,0.00273944,0.00123693,
9.69283,521.993,0.646858,1.04856,0.0231385,0.00845215,0.00381638,
9.69256,4766.69,0.614666,2.28694,0.0244657,0.00893819,0.00403584,
9.69249,4786.84,0.59334,2.77291,0.00715271,0.00259808,0.00117311,
9.69164,491.814,1.96458,3.02156,0.00825136,0.00300041,0.00135477,
9.69155,180.84,2.17054,0.16227,0.0198208,0.00723721,0.0032678,
9.69101,1092.21,2.30451,1.66951,0.0243202,0.00888491,0.00401178,
9.6921,941.094,1.24586,2.53404,0.0203504,0.00743115,0.00335537,
9.69165,667.897,0.672894,2.78876,0.02702,0.00987358,0.00445819,
9.69293,3045.07,1.57525,3.11364,0.0296616,0.0108409,0.00489497,
9.69286,1862.26,1.69359,1.30659,0.0255677,0.00934171,0.00421804,
9.69131,531.919,2.30689,0.375064,0.0212486,0.00776007,0.00350388,
9.69189,854.269,1.30459,1.66424,0.0227746,0.00831888,0.0037562,
9.69162,540.58,2.61702,2.61038,0.0302947,0.0110728,0.00499967,
9.69152,201.388,2.64992,0.144635,0.0032303,0.00116168,0.00052453,
9.69113,3157.21,1.91175,2.18025,0.00577578,0.00209384,0.000945427,
9.69233,3649.72,1.33738,1.58321,0.030065,0.0109887,0.00496169,
9.69186,438.152,0.539798,0.962816,0.000995014,0.000343107,0.000154922,
9.69226,1062.38,0.159743,2.54165,0.00904389,0.00329064,0.00148581,
9.69105,4250.83,2.22599,2.63901,0.00672305,0.00244074,0.00110206,
9.69183,975.516,0.681914,1.3697,0.0254417,0.0092956,0.00419722,
9.69216,2654.41,0.196202,2.45466,0.000709828,0.000238671,0.000107766,
9.69282,780.302,1.66252,2.77459,0.0259067,0.00946587,0.0042741,
9.6919,1347.98,1.88199,0.0598747,0.0143586,0.00523691,0.00236461,
9.69269,1007.89,2.76406,2.98207,0.00421021,0.00152052,0.000686558,
