distanceDiff,timeDiff,
7.45362,3.69688,
2.48345,1.29218,
13.5031,7.03921,
0.215013,0.112438,
11.866,6.51854,
29.7341,16.5956,
35.7042,20.6463,
2.70545,1.23954,
1.82603,0.841194,
9.21899,4.45548,
12.2765,5.62469,
36.8218,16.88,
0.421735,0.193844,
7.5696,3.48857,
6.1768,2.86025,
2.37985,1.12076,
5.31916,2.6044,
30.4924,14.9549,
32.379,16.0887,
30.81,14.1161,
0.523791,0.240204,
8.22484,3.77663,
14.6562,6.92308,
16.978,8.04325,
2.90966,1.33311,
10.0222,4.59182,
0.329464,0.151049,
11.2381,5.17672,
5.39204,2.59877,
36.575,16.7574,
16.1416,7.39552,
2.94118,1.41531,
16.7468,8.06971,
3.20982,1.47063,
34.0718,15.7395,
33.739,15.9765,
13.9366,6.91476,
3.43841,1.79174,
5.55668,2.93678,
10.0949,5.33585,
11.145,5.10627,
3.52737,1.62008,
2.54714,1.16701,
3.22778,1.52294,
1.08223,0.521126,
5.3822,2.62781,
5.85797,2.68392,
12.3457,5.68999,
4.12223,1.91036,
2.00342,0.931232,
11.9127,5.45801,
13.0468,5.9776,
29.7347,13.7199,
17.6816,8.17996,
6.07969,2.78551,
0.628269,0.299459,
6.95687,3.31961,
5.4272,2.66473,
25.7933,13.1454,
0.334374,0.171589,
2.99294,1.54403,
3.02001,1.61222,
12.6562,5.79863,
4.71871,2.1665,
40.0518,19.0699,
24.4517,12.0125,
12.7404,6.56128,
27.1856,12.4555,
17.7261,8.29552,
1.05147,0.493478,
25.2198,12.0629,
14.5337,7.2574,
25.6645,12.9576,
1.18329,0.601624,
0.90524,0.479022,
19.3355,8.85888,
6.2841,2.88172,
0.133575,0.0612771,
10.0155,4.59538,
37.3405,17.1081,
6.0683,2.8811,
13.0109,6.25099,
5.77996,2.78275,
10.8088,5.215,
0.0520804,0.0263576,
7.68627,3.90714,
13.8806,7.40844,
1.87258,1.01486,
27.7582,15.0743,
0.419537,0.192218,
1.50815,0.695347,
10.1131,4.80893,
2.83175,1.34862,
0.26619,0.127206,
3.20225,1.55666,
30.5267,13.9863,
43.0017,19.918,
13.1391,6.26237,
0.639149,0.31425,
23.7666,12.0914,
10.8169,5.50789,
30.9958,15.8406,
74.1145,33.9568,
34.2341,16.0543,
3.94092,1.91896,
3.56134,1.73488,
19.5801,9.55597,
5.56802,2.74763,
8.746,4.00712,
2.16569,1.04182,
6.00087,2.90142,
1.71595,0.842024,
10.2425,4.69276,
13.3503,6.14455,
0.380002,0.180254,
9.61018,4.56232,
10.4801,5.18215,
13.4273,6.15194,
9.30251,4.2621,
10.2037,4.8916,
1.53457,0.773392,
18.864,9.62663,
4.81926,2.20802,
7.41667,3.39807,
16.9204,7.76616,
2.17244,0.998896,
4.26918,1.96439,
0.882657,0.407341,
4.01652,1.86852,
4.16355,1.94921,
3.18048,1.49332,
4.20294,1.97593,
13.2729,6.26325,
23.3902,10.7166,
3.19162,1.46229,
7.61393,3.61525,
32.2813,14.7902,
18.9745,8.74402,
0.0559396,0.0258724,
