nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
47.2313,409,0,
52.8712,438,0,
49.5784,425,0,
46.0472,407,0,
51.3047,431,0,
46.2994,411,0,
47.0089,415,0,
51.349,428,0,
47.6885,413,0,
51.7673,433,0,
53.7046,443,0,
53.8064,442,0,
49.4936,423,0,
45.6197,406,0,
45.6478,410,0,
51.8947,434,0,
52.8921,440,0,
45.7751,407,0,
45.6672,404,0,
45.4119,406,0,
53.5132,445,0,
49.2457,422,0,
45.3311,408,0,
45.3838,406,0,
49.8254,424,0,
52.7647,437,0,
49.7561,428,0,
54.6037,447,0,
51.7698,435,0,
54.2915,443,0,
48.1211,415,0,
51.8481,433,0,
47.2638,413,0,
47.8058,414,0,
47.563,417,0,
53.9862,443,0,
46.0763,409,0,
47.6251,417,0,
52.7474,442,0,
54.0036,440,0,
46.9009,415,0,
47.1306,415,0,
48.6654,420,0,
53.1457,435,0,
45.6942,404,0,
54.903,447,0,
49.8487,425,0,
54.3904,447,0,
47.5585,418,0,
54.941,445,0,
52.578,441,0,
47.0188,413,0,
54.9854,449,0,
49.8978,423,0,
54.0179,445,0,
52.0504,435,0,
48.0041,418,0,
54.531,442,0,
51.9598,438,0,
46.5172,415,0,
47.8651,413,0,
45.0152,403,0,
49.833,422,0,
49.8892,427,0,
53.162,442,0,
47.3224,412,0,
47.0231,415,0,
52.992,439,0,
47.2146,411,0,
49.6475,422,0,
48.827,419,0,
51.5812,433,0,
49.2133,425,0,
53.6292,448,0,
47.4973,411,0,
53.0327,438,0,
53.2516,439,0,
52.1415,437,0,
51.9596,434,0,
45.5544,401,0,
53.5437,442,0,
52.4114,438,0,
45.3146,406,0,
48.6647,415,0,
46.3861,411,0,
47.4599,415,0,
50.8925,431,0,
54.2388,445,0,
53.474,443,0,
45.3234,405,0,
49.6999,426,0,
47.7412,416,0,
46.5437,415,0,
48.0421,420,0,
50.1335,422,0,
51.6011,433,0,
45.8284,407,0,
50.8311,429,0,
52.5397,437,0,
50.277,430,0,
45.2645,402,0,
54.3821,446,0,
49.9994,424,0,
54.4674,444,0,
47.3934,413,0,
53.0177,441,0,
45.3842,405,0,
46.7838,411,0,
52.2041,433,0,
54.1796,440,0,
50.6108,432,0,
53.0202,442,0,
52.9828,439,0,
45.9699,408,0,
51.5259,436,0,
45.404,407,0,
48.8408,419,0,
53.5318,440,0,
47.263,414,0,
52.2633,438,0,
52.5591,440,0,
49.3559,424,0,
45.1551,405,0,
49.9923,426,0,
48.9219,421,0,
53.3017,439,0,
48.3686,417,0,
46.1914,409,0,
47.0436,413,0,
46.5574,411,0,
48.131,419,0,
54.273,444,0,
46.8932,412,0,
47.1687,413,0,
53.3452,440,0,
52.1654,432,0,
51.4494,433,0,
46.3128,412,0,
52.2003,433,0,
51.1108,430,0,
54.766,445,0,
47.4334,415,0,
52.6308,440,0,
54.2526,447,0,
46.0783,406,0,
47.0718,414,0,
52.3885,437,0,
51.7176,434,0,
47.7266,416,0,
54.9595,450,0,
49.0561,424,0,
49.3658,421,0,
50.8213,428,0,
49.0283,421,0,
49.373,423,0,
50.9189,432,0,
54.3671,443,0,
54.1882,450,0,
49.651,425,0,
53.8093,445,0,
45.5896,404,0,
54.1488,447,0,
46.5782,405,0,
48.1148,418,0,
52.8184,440,0,
51.0109,431,0,
49.9365,424,0,
47.7459,417,0,
45.6622,403,0,
49.3343,426,0,
47.5206,420,0,
45.0267,405,0,
48.7419,419,0,
46.7629,413,0,
45.8348,405,0,
46.0502,406,0,
52.1824,434,0,
45.2886,403,0,
48.1875,418,0,
46.8857,412,0,
47.9143,420,0,
47.5384,415,0,
45.895,407,0,
47.3958,414,0,
46.3196,408,0,
50.9577,432,0,
48.7988,423,0,
50.2161,427,0,
46.5423,404,0,
51.6398,436,0,
52.2326,439,0,
48.9778,421,0,
47.1949,414,0,
48.4763,418,0,
48.0597,416,0,
46.7877,409,0,
48.2383,413,0,
45.5824,403,0,
50.9344,433,0,
47.5986,414,0,
53.7722,439,0,
49.8584,430,0,
49.002,422,0,
48.1121,416,0,
48.4538,415,0,
47.2104,418,0,
47.4269,415,0,
51.6981,437,0,
49.3576,426,0,
45.4316,405,0,
46.7772,416,0,
49.1601,424,0,
47.9881,417,0,
46.9109,414,0,
52.1055,434,0,
50.6662,427,0,
45.1326,402,0,
51.4516,430,0,
46.2814,409,0,
51.6634,432,0,
45.0979,402,0,
51.4712,434,0,
53.1774,439,0,
53.345,436,0,
51.7694,435,0,
53.6852,445,0,
47.5578,412,0,
51.1637,434,0,
45.9451,407,0,
53.8771,444,0,
52.3609,435,0,
51.6348,438,0,
54.1291,448,0,
47.96,419,0,
48.4768,419,0,
53.7275,445,0,
54.6352,447,0,
54.2126,440,0,
45.8282,411,0,
52.3408,437,0,
51.0896,432,0,
47.0444,411,0,
46.3368,411,0,
53.9672,445,0,
50.5539,430,0,
48.6197,420,0,
53.3159,445,0,
45.928,412,0,
54.2048,443,0,
51.6461,432,0,
51.4776,435,0,
52.1307,431,0,
50.6963,428,0,
51.2984,433,0,
45.2242,401,0,
50.9516,432,0,
45.2757,406,0,
46.1901,410,0,
54.3302,442,0,
52.0411,438,0,
54.4309,446,0,
45.9231,408,0,
50.0918,427,0,
47.3821,418,0,
48.5066,419,0,
48.652,420,0,
46.4006,410,0,
46.6119,409,0,
49.455,422,0,
45.9702,406,0,
52.7001,440,0,
49.4996,423,0,
53.8979,442,0,
49.6004,422,0,
53.6115,444,0,
54.1265,446,0,
45.7268,407,0,
45.5989,406,0,
53.6562,444,0,
46.0651,410,0,
45.8697,409,0,
45.9501,403,0,
53.5709,442,0,
49.4387,431,0,
47.5625,415,0,
45.8234,410,0,
54.6544,447,0,
52.0659,437,0,
52.8493,435,0,
47.9986,420,0,
53.3164,440,0,
50.17,427,0,
45.1725,403,0,
51.9427,438,0,
48.9018,421,0,
47.1267,408,0,
54.2342,447,0,
