eventID,eDep,
1979,50.9812,
1980,73.5294,
1981,58.1545,
1982,72.7637,
1983,72.9119,
1985,55.2118,
1986,67.4537,
1987,70.4871,
1988,72.2606,
1989,71.5661,
1990,73.517,
1991,72.8221,
1992,57.0323,
1994,59.2698,
1995,64.9501,
1996,72.9856,
1999,73.2646,
2000,73.5288,
2002,72.7258,
2004,61.1971,
2005,68.2382,
2007,55.6134,
2010,71.3007,
2011,59.6788,
2012,57.0812,
2014,63.5644,
2015,50.5189,
2017,71.1039,
2021,72.2304,
2022,73.5291,
2023,63.3122,
2024,61.2125,
2025,57.6574,
2028,73.5087,
2032,63.8622,
2033,71.6036,
2034,50.5333,
2035,53.2555,
2037,73.5285,
2038,73.5294,
2039,61.6823,
2041,56.6558,
2042,59.6396,
2043,72.4157,
2045,72.1195,
2046,73.0503,
2047,54.0429,
2048,60.3236,
2049,73.438,
2050,73.5294,
2051,73.5232,
2052,72.9084,
2054,66.5932,
2055,69.3163,
2056,73.5269,
2057,69.5719,
2060,52.2319,
2061,72.9828,
2065,70.0498,
2066,68.5968,
2067,73.0438,
2068,70.5269,
2070,73.5292,
2071,71.0844,
2072,72.9947,
2074,52.9211,
2076,73.5101,
2077,67.1326,
2078,72.3121,
2080,73.5294,
2081,73.4431,
2082,57.9812,
2083,73.4831,
2084,72.1034,
2086,73.486,
2087,61.892,
2090,66.8934,
2091,73.0545,
2093,62.8943,
2097,62.6247,
2100,54.301,
2101,55.9492,
2102,72.3717,
2103,73.5089,
2104,64.7676,
2105,73.5207,
2106,71.6774,
2108,64.6174,
2109,73.4478,
2110,64.2418,
2111,73.0074,
2113,73.5294,
2115,73.4245,
2117,69.9332,
2118,73.3822,
2119,73.3133,
2120,68.5885,
2121,65.8596,
2123,73.0193,
2126,67.3465,
2130,73.5019,
2131,73.524,
2133,73.5294,
