process,distance,
compt,28.3758,
compt,14.8545,
compt,58.187,
compt,25.931,
compt,10.1818,
compt,10.3781,
compt,18.1471,
compt,13.3245,
compt,10.3453,
compt,20.646,
compt,34.1864,
compt,15.1548,
compt,19.8483,
compt,17.8266,
compt,31.8109,
compt,19.9378,
compt,29.4728,
compt,12.5968,
compt,38.9937,
compt,27.0258,
compt,19.2457,
compt,16.1172,
compt,12.4429,
compt,21.3132,
compt,17.1688,
compt,22.7974,
compt,24.2285,
compt,18.2008,
compt,24.7082,
compt,30.2979,
compt,38.3597,
compt,20.3272,
compt,26.01,
compt,26.9002,
compt,18.0588,
compt,56.0878,
compt,42.7429,
compt,38.8983,
compt,25.5461,
compt,21.1241,
compt,24.4093,
compt,24.185,
compt,32.0063,
compt,11.8153,
compt,52.2767,
compt,18.1253,
compt,17.5272,
compt,15.1551,
compt,30.2086,
compt,28.0271,
compt,23.4639,
compt,13.8321,
compt,32.1321,
compt,34.3201,
compt,15.1442,
compt,14.6398,
compt,26.6621,
compt,33.6808,
compt,15.2194,
compt,14.2759,
compt,12.0113,
compt,12.6064,
compt,11.661,
compt,22.4282,
compt,13.5791,
compt,11.5427,
compt,12.4732,
compt,15.4056,
compt,11.0641,
compt,11.3584,
compt,17.3539,
compt,28.1304,
compt,15.2828,
compt,26.7887,
compt,29.7971,
compt,17.5864,
compt,18.2084,
compt,12.295,
compt,11.4101,
compt,11.1894,
compt,12.0667,
compt,16.1678,
compt,21.6083,
compt,10.9423,
compt,10.9498,
compt,10.2942,
compt,17.9872,
compt,23.0263,
compt,14.1179,
compt,31.2403,
compt,38.409,
compt,21.9222,
compt,17.36,
compt,38.4021,
compt,26.4072,
compt,10.1958,
compt,14.2499,
compt,54.4858,
compt,13.9268,
compt,28.8128,
compt,20.2756,
compt,18.4386,
compt,12.6226,
compt,17.7848,
compt,16.5402,
compt,15.2775,
compt,12.991,
compt,20.5093,
compt,47.8194,
compt,24.6246,
compt,32.7393,
compt,18.9623,
compt,12.9748,
compt,54.2927,
compt,18.2288,
compt,31.1425,
compt,11.0855,
compt,13.8039,
compt,16.1873,
compt,22.8925,
compt,21.8831,
compt,45.3645,
compt,17.1392,
compt,16.7895,
compt,24.581,
phot,39.0755,
compt,42.7029,
compt,10.1344,
compt,11.9823,
compt,15.0223,
compt,15.4403,
compt,19.2738,
compt,21.5048,
compt,46.3078,
compt,26.0273,
compt,28.8527,
compt,17.0124,
compt,13.3468,
compt,13.933,
compt,11.242,
compt,33.0247,
compt,12.948,
compt,13.1453,
compt,36.77,
compt,10.3937,
compt,17.264,
compt,19.9274,
compt,14.6091,
compt,17.56,
compt,36.936,
compt,15.5639,
compt,12.7622,
compt,33.231,
compt,32.4708,
compt,16.8755,
compt,11.611,
compt,18.0753,
compt,11.8509,
compt,39.1743,
compt,31.1862,
compt,39.5549,
compt,33.1591,
compt,14.4893,
compt,19.2002,
compt,19.024,
compt,20.7871,
compt,24.2801,
compt,52.0699,
compt,10.3385,
compt,12.2741,
compt,13.905,
compt,26.6246,
compt,10.8145,
compt,19.7964,
compt,37.5811,
compt,19.0554,
compt,10.5507,
compt,43.9862,
compt,10.2598,
compt,51.7292,
compt,37.3237,
compt,21.0366,
compt,11.08,
compt,72.2536,
compt,24.2995,
compt,47.3196,
compt,14.783,
compt,10.1736,
